r1,r2,r3,support,body,confidence,example_1,example_2,example_3
secondUncleOf,brotherOf,secondUncleOf,47,47,1.0,leon16-[secondUncleOf]->elias6-[brotherOf]->lisa5 => leon16-[secondUncleOf]->lisa5,leon16-[secondUncleOf]->elias6-[brotherOf]->nico4 => leon16-[secondUncleOf]->nico4,leon16-[secondUncleOf]->nico4-[brotherOf]->elias6 => leon16-[secondUncleOf]->elias6
girlSecondCousinOf,nephewOf,girlFirstCousinOnceRemovedOf,46,46,1.0,lena18-[girlSecondCousinOf]->fabian26-[nephewOf]->johanna22 => lena18-[girlFirstCousinOnceRemovedOf]->johanna22,lena18-[girlSecondCousinOf]->elias6-[nephewOf]->oskar24 => lena18-[girlFirstCousinOnceRemovedOf]->oskar24,lena18-[girlSecondCousinOf]->elias6-[nephewOf]->adam9 => lena18-[girlFirstCousinOnceRemovedOf]->adam9
grandsonOf,greatAuntOf,boySecondCousinOf,46,46,1.0,fabian26-[grandsonOf]->paula12-[greatAuntOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[grandsonOf]->paula12-[greatAuntOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[grandsonOf]->paula12-[greatAuntOf]->lena18 => fabian26-[boySecondCousinOf]->lena18
secondAuntOf,girlCousinOf,secondAuntOf,45,45,1.0,marie139-[secondAuntOf]->natalie151-[girlCousinOf]->victoria142 => marie139-[secondAuntOf]->victoria142,marie139-[secondAuntOf]->victoria142-[girlCousinOf]->natalie151 => marie139-[secondAuntOf]->natalie151,marie139-[secondAuntOf]->victoria142-[girlCousinOf]->dominik148 => marie139-[secondAuntOf]->dominik148
boyCousinOf,boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,44,44,1.0,nico91-[boyCousinOf]->lukas93-[boyFirstCousinOnceRemovedOf]->marlene86 => nico91-[boyFirstCousinOnceRemovedOf]->marlene86,nico91-[boyCousinOf]->lukas93-[boyFirstCousinOnceRemovedOf]->philipp104 => nico91-[boyFirstCousinOnceRemovedOf]->philipp104,nico91-[boyCousinOf]->lukas93-[boyFirstCousinOnceRemovedOf]->isabella103 => nico91-[boyFirstCousinOnceRemovedOf]->isabella103
nephewOf,secondAuntOf,boySecondCousinOf,43,43,1.0,fabian26-[nephewOf]->johanna22-[secondAuntOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[nephewOf]->johanna22-[secondAuntOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[nephewOf]->johanna22-[secondAuntOf]->lena18 => fabian26-[boySecondCousinOf]->lena18
auntOf,boySecondCousinOf,secondAuntOf,42,42,1.0,selina10-[auntOf]->elias6-[boySecondCousinOf]->fabian26 => selina10-[secondAuntOf]->fabian26,selina10-[auntOf]->elias6-[boySecondCousinOf]->lena18 => selina10-[secondAuntOf]->lena18,selina10-[auntOf]->nico4-[boySecondCousinOf]->fabian26 => selina10-[secondAuntOf]->fabian26
secondAuntOf,sisterOf,secondAuntOf,42,42,1.0,johanna22-[secondAuntOf]->lisa5-[sisterOf]->elias6 => johanna22-[secondAuntOf]->elias6,johanna22-[secondAuntOf]->lisa5-[sisterOf]->nico4 => johanna22-[secondAuntOf]->nico4,marie139-[secondAuntOf]->natalie151-[sisterOf]->dominik148 => marie139-[secondAuntOf]->dominik148
sisterOf,boyFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,42,42,1.0,lisa5-[sisterOf]->elias6-[boyFirstCousinOnceRemovedOf]->leon16 => lisa5-[girlFirstCousinOnceRemovedOf]->leon16,lisa5-[sisterOf]->elias6-[boyFirstCousinOnceRemovedOf]->jonas23 => lisa5-[girlFirstCousinOnceRemovedOf]->jonas23,lisa5-[sisterOf]->elias6-[boyFirstCousinOnceRemovedOf]->johanna22 => lisa5-[girlFirstCousinOnceRemovedOf]->johanna22
brotherOf,girlFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,41,41,1.0,nico4-[brotherOf]->lisa5-[girlFirstCousinOnceRemovedOf]->leon16 => nico4-[boyFirstCousinOnceRemovedOf]->leon16,nico4-[brotherOf]->lisa5-[girlFirstCousinOnceRemovedOf]->jonas23 => nico4-[boyFirstCousinOnceRemovedOf]->jonas23,nico4-[brotherOf]->lisa5-[girlFirstCousinOnceRemovedOf]->johanna22 => nico4-[boyFirstCousinOnceRemovedOf]->johanna22
uncleOf,boySecondCousinOf,secondUncleOf,41,41,1.0,oskar24-[uncleOf]->elias6-[boySecondCousinOf]->fabian26 => oskar24-[secondUncleOf]->fabian26,oskar24-[uncleOf]->elias6-[boySecondCousinOf]->lena18 => oskar24-[secondUncleOf]->lena18,oskar24-[uncleOf]->nico4-[boySecondCousinOf]->fabian26 => oskar24-[secondUncleOf]->fabian26
boyFirstCousinOnceRemovedOf,auntOf,boySecondCousinOf,40,40,1.0,fabian26-[boyFirstCousinOnceRemovedOf]->isabella11-[auntOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[boyFirstCousinOnceRemovedOf]->isabella11-[auntOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[boyFirstCousinOnceRemovedOf]->isabella11-[auntOf]->nico4 => fabian26-[boySecondCousinOf]->nico4
nieceOf,secondUncleOf,girlSecondCousinOf,40,40,1.0,lisa5-[nieceOf]->oskar24-[secondUncleOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26,lisa5-[nieceOf]->oskar24-[secondUncleOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,lisa5-[nieceOf]->adam9-[secondUncleOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26
sonOf,greatUncleOf,secondUncleOf,40,40,1.0,leon16-[sonOf]->luis14-[greatUncleOf]->fabian26 => leon16-[secondUncleOf]->fabian26,leon16-[sonOf]->luis14-[greatUncleOf]->lisa5 => leon16-[secondUncleOf]->lisa5,leon16-[sonOf]->luis14-[greatUncleOf]->elias6 => leon16-[secondUncleOf]->elias6
girlCousinOf,boyFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,39,39,1.0,victoria142-[girlCousinOf]->dominik148-[boyFirstCousinOnceRemovedOf]->adrian155 => victoria142-[girlFirstCousinOnceRemovedOf]->adrian155,victoria142-[girlCousinOf]->dominik148-[boyFirstCousinOnceRemovedOf]->marie139 => victoria142-[girlFirstCousinOnceRemovedOf]->marie139,vanessa228-[girlCousinOf]->jonathan219-[boyFirstCousinOnceRemovedOf]->angelina233 => vanessa228-[girlFirstCousinOnceRemovedOf]->angelina233
girlCousinOf,girlFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,39,39,1.0,victoria142-[girlCousinOf]->natalie151-[girlFirstCousinOnceRemovedOf]->adrian155 => victoria142-[girlFirstCousinOnceRemovedOf]->adrian155,victoria142-[girlCousinOf]->natalie151-[girlFirstCousinOnceRemovedOf]->marie139 => victoria142-[girlFirstCousinOnceRemovedOf]->marie139,natalie151-[girlCousinOf]->victoria142-[girlFirstCousinOnceRemovedOf]->adrian155 => natalie151-[girlFirstCousinOnceRemovedOf]->adrian155
boySecondCousinOf,nieceOf,boyFirstCousinOnceRemovedOf,38,38,1.0,fabian26-[boySecondCousinOf]->lisa5-[nieceOf]->oskar24 => fabian26-[boyFirstCousinOnceRemovedOf]->oskar24,fabian26-[boySecondCousinOf]->lisa5-[nieceOf]->adam9 => fabian26-[boyFirstCousinOnceRemovedOf]->adam9,fabian26-[boySecondCousinOf]->lisa5-[nieceOf]->isabella11 => fabian26-[boyFirstCousinOnceRemovedOf]->isabella11
girlFirstCousinOnceRemovedOf,fatherOf,girlSecondCousinOf,38,38,1.0,lena18-[girlFirstCousinOnceRemovedOf]->jonas23-[fatherOf]->fabian26 => lena18-[girlSecondCousinOf]->fabian26,lisa5-[girlFirstCousinOnceRemovedOf]->leon16-[fatherOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,lisa5-[girlFirstCousinOnceRemovedOf]->jonas23-[fatherOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26
girlFirstCousinOnceRemovedOf,uncleOf,girlSecondCousinOf,38,38,1.0,lena18-[girlFirstCousinOnceRemovedOf]->adam9-[uncleOf]->elias6 => lena18-[girlSecondCousinOf]->elias6,lena18-[girlFirstCousinOnceRemovedOf]->adam9-[uncleOf]->lisa5 => lena18-[girlSecondCousinOf]->lisa5,lena18-[girlFirstCousinOnceRemovedOf]->adam9-[uncleOf]->nico4 => lena18-[girlSecondCousinOf]->nico4
uncleOf,girlSecondCousinOf,secondUncleOf,38,38,1.0,oskar24-[uncleOf]->lisa5-[girlSecondCousinOf]->fabian26 => oskar24-[secondUncleOf]->fabian26,oskar24-[uncleOf]->lisa5-[girlSecondCousinOf]->lena18 => oskar24-[secondUncleOf]->lena18,adam9-[uncleOf]->lisa5-[girlSecondCousinOf]->fabian26 => adam9-[secondUncleOf]->fabian26
boySecondCousinOf,nephewOf,boyFirstCousinOnceRemovedOf,37,37,1.0,fabian26-[boySecondCousinOf]->elias6-[nephewOf]->oskar24 => fabian26-[boyFirstCousinOnceRemovedOf]->oskar24,fabian26-[boySecondCousinOf]->elias6-[nephewOf]->adam9 => fabian26-[boyFirstCousinOnceRemovedOf]->adam9,fabian26-[boySecondCousinOf]->elias6-[nephewOf]->isabella11 => fabian26-[boyFirstCousinOnceRemovedOf]->isabella11
daughterOf,greatUncleOf,secondAuntOf,37,37,1.0,isabella103-[daughterOf]->florian82-[greatUncleOf]->lukas93 => isabella103-[secondAuntOf]->lukas93,isabella103-[daughterOf]->florian82-[greatUncleOf]->david100 => isabella103-[secondAuntOf]->david100,isabella103-[daughterOf]->florian82-[greatUncleOf]->nico91 => isabella103-[secondAuntOf]->nico91
boyCousinOf,girlFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,36,36,1.0,dominik148-[boyCousinOf]->victoria142-[girlFirstCousinOnceRemovedOf]->adrian155 => dominik148-[boyFirstCousinOnceRemovedOf]->adrian155,dominik148-[boyCousinOf]->victoria142-[girlFirstCousinOnceRemovedOf]->marie139 => dominik148-[boyFirstCousinOnceRemovedOf]->marie139,jonathan219-[boyCousinOf]->paula229-[girlFirstCousinOnceRemovedOf]->angelina233 => jonathan219-[boyFirstCousinOnceRemovedOf]->angelina233
sonOf,girlCousinOf,boyFirstCousinOnceRemovedOf,35,35,1.0,nico4-[sonOf]->olivia0-[girlCousinOf]->leon16 => nico4-[boyFirstCousinOnceRemovedOf]->leon16,nico4-[sonOf]->olivia0-[girlCousinOf]->jonas23 => nico4-[boyFirstCousinOnceRemovedOf]->jonas23,nico4-[sonOf]->olivia0-[girlCousinOf]->johanna22 => nico4-[boyFirstCousinOnceRemovedOf]->johanna22
boyFirstCousinOnceRemovedOf,uncleOf,boySecondCousinOf,34,34,1.0,fabian26-[boyFirstCousinOnceRemovedOf]->adam9-[uncleOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[boyFirstCousinOnceRemovedOf]->adam9-[uncleOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[boyFirstCousinOnceRemovedOf]->adam9-[uncleOf]->nico4 => fabian26-[boySecondCousinOf]->nico4
nephewOf,secondUncleOf,boySecondCousinOf,32,32,1.0,nico4-[nephewOf]->oskar24-[secondUncleOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26,nico4-[nephewOf]->oskar24-[secondUncleOf]->lena18 => nico4-[boySecondCousinOf]->lena18,nico4-[nephewOf]->adam9-[secondUncleOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26
boyFirstCousinOnceRemovedOf,motherOf,boySecondCousinOf,31,31,1.0,fabian26-[boyFirstCousinOnceRemovedOf]->olivia0-[motherOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[boyFirstCousinOnceRemovedOf]->olivia0-[motherOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,nico91-[boyFirstCousinOnceRemovedOf]->marlene86-[motherOf]->emily102 => nico91-[boySecondCousinOf]->emily102
sonOf,secondUncleOf,boySecondCousinOf,31,31,1.0,fabian26-[sonOf]->jonas23-[secondUncleOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[sonOf]->jonas23-[secondUncleOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[sonOf]->jonas23-[secondUncleOf]->lena18 => fabian26-[boySecondCousinOf]->lena18
boyFirstCousinOnceRemovedOf,fatherOf,boySecondCousinOf,30,30,1.0,fabian26-[boyFirstCousinOnceRemovedOf]->leon16-[fatherOf]->lena18 => fabian26-[boySecondCousinOf]->lena18,nico4-[boyFirstCousinOnceRemovedOf]->leon16-[fatherOf]->lena18 => nico4-[boySecondCousinOf]->lena18,nico4-[boyFirstCousinOnceRemovedOf]->jonas23-[fatherOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26
girlFirstCousinOnceRemovedOf,auntOf,girlSecondCousinOf,30,30,1.0,lena18-[girlFirstCousinOnceRemovedOf]->johanna22-[auntOf]->fabian26 => lena18-[girlSecondCousinOf]->fabian26,lena18-[girlFirstCousinOnceRemovedOf]->isabella11-[auntOf]->elias6 => lena18-[girlSecondCousinOf]->elias6,lena18-[girlFirstCousinOnceRemovedOf]->isabella11-[auntOf]->lisa5 => lena18-[girlSecondCousinOf]->lisa5
secondUncleOf,boyCousinOf,secondUncleOf,30,30,1.0,philipp104-[secondUncleOf]->lukas93-[boyCousinOf]->david100 => philipp104-[secondUncleOf]->david100,philipp104-[secondUncleOf]->lukas93-[boyCousinOf]->nico91 => philipp104-[secondUncleOf]->nico91,philipp104-[secondUncleOf]->david100-[boyCousinOf]->lukas93 => philipp104-[secondUncleOf]->lukas93
secondUncleOf,girlCousinOf,secondUncleOf,30,30,1.0,adrian155-[secondUncleOf]->natalie151-[girlCousinOf]->victoria142 => adrian155-[secondUncleOf]->victoria142,adrian155-[secondUncleOf]->victoria142-[girlCousinOf]->natalie151 => adrian155-[secondUncleOf]->natalie151,adrian155-[secondUncleOf]->victoria142-[girlCousinOf]->dominik148 => adrian155-[secondUncleOf]->dominik148
brotherOf,boySecondCousinOf,boySecondCousinOf,28,28,1.0,nico4-[brotherOf]->elias6-[boySecondCousinOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26,nico4-[brotherOf]->elias6-[boySecondCousinOf]->lena18 => nico4-[boySecondCousinOf]->lena18,elias6-[brotherOf]->nico4-[boySecondCousinOf]->fabian26 => elias6-[boySecondCousinOf]->fabian26
boySecondCousinOf,sisterOf,boySecondCousinOf,27,27,1.0,fabian26-[boySecondCousinOf]->lisa5-[sisterOf]->elias6 => fabian26-[boySecondCousinOf]->elias6,fabian26-[boySecondCousinOf]->lisa5-[sisterOf]->nico4 => fabian26-[boySecondCousinOf]->nico4,nico91-[boySecondCousinOf]->natalie89-[sisterOf]->emily102 => nico91-[boySecondCousinOf]->emily102
nieceOf,secondAuntOf,girlSecondCousinOf,27,27,1.0,lisa5-[nieceOf]->isabella11-[secondAuntOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26,lisa5-[nieceOf]->isabella11-[secondAuntOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,lisa5-[nieceOf]->selina10-[secondAuntOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26
auntOf,girlSecondCousinOf,secondAuntOf,25,25,1.0,selina10-[auntOf]->lisa5-[girlSecondCousinOf]->fabian26 => selina10-[secondAuntOf]->fabian26,selina10-[auntOf]->lisa5-[girlSecondCousinOf]->lena18 => selina10-[secondAuntOf]->lena18,isabella11-[auntOf]->lisa5-[girlSecondCousinOf]->fabian26 => isabella11-[secondAuntOf]->fabian26
daughterOf,secondUncleOf,girlSecondCousinOf,25,25,1.0,lena18-[daughterOf]->leon16-[secondUncleOf]->fabian26 => lena18-[girlSecondCousinOf]->fabian26,lena18-[daughterOf]->leon16-[secondUncleOf]->lisa5 => lena18-[girlSecondCousinOf]->lisa5,lena18-[daughterOf]->leon16-[secondUncleOf]->elias6 => lena18-[girlSecondCousinOf]->elias6
girlSecondCousinOf,brotherOf,girlSecondCousinOf,25,25,1.0,lena18-[girlSecondCousinOf]->elias6-[brotherOf]->lisa5 => lena18-[girlSecondCousinOf]->lisa5,lena18-[girlSecondCousinOf]->elias6-[brotherOf]->nico4 => lena18-[girlSecondCousinOf]->nico4,lena18-[girlSecondCousinOf]->nico4-[brotherOf]->elias6 => lena18-[girlSecondCousinOf]->elias6
girlSecondCousinOf,nieceOf,girlFirstCousinOnceRemovedOf,25,25,1.0,lena18-[girlSecondCousinOf]->lisa5-[nieceOf]->oskar24 => lena18-[girlFirstCousinOnceRemovedOf]->oskar24,lena18-[girlSecondCousinOf]->lisa5-[nieceOf]->adam9 => lena18-[girlFirstCousinOnceRemovedOf]->adam9,lena18-[girlSecondCousinOf]->lisa5-[nieceOf]->isabella11 => lena18-[girlFirstCousinOnceRemovedOf]->isabella11
grandsonOf,greatUncleOf,boySecondCousinOf,22,22,1.0,luca129-[grandsonOf]->julian108-[greatUncleOf]->emilia130 => luca129-[boySecondCousinOf]->emilia130,luca129-[grandsonOf]->julian108-[greatUncleOf]->alina123 => luca129-[boySecondCousinOf]->alina123,dominik148-[grandsonOf]->david132-[greatUncleOf]->lara150 => dominik148-[boySecondCousinOf]->lara150
sisterOf,girlSecondCousinOf,girlSecondCousinOf,22,22,1.0,natalie89-[sisterOf]->emily102-[girlSecondCousinOf]->lukas93 => natalie89-[girlSecondCousinOf]->lukas93,natalie89-[sisterOf]->emily102-[girlSecondCousinOf]->david100 => natalie89-[girlSecondCousinOf]->david100,natalie89-[sisterOf]->emily102-[girlSecondCousinOf]->nico91 => natalie89-[girlSecondCousinOf]->nico91
boySecondCousinOf,brotherOf,boySecondCousinOf,20,20,1.0,fabian26-[boySecondCousinOf]->elias6-[brotherOf]->lisa5 => fabian26-[boySecondCousinOf]->lisa5,fabian26-[boySecondCousinOf]->elias6-[brotherOf]->nico4 => fabian26-[boySecondCousinOf]->nico4,fabian26-[boySecondCousinOf]->nico4-[brotherOf]->elias6 => fabian26-[boySecondCousinOf]->elias6
girlFirstCousinOnceRemovedOf,motherOf,girlSecondCousinOf,19,19,1.0,lena18-[girlFirstCousinOnceRemovedOf]->olivia0-[motherOf]->elias6 => lena18-[girlSecondCousinOf]->elias6,lena18-[girlFirstCousinOnceRemovedOf]->olivia0-[motherOf]->lisa5 => lena18-[girlSecondCousinOf]->lisa5,victoria142-[girlFirstCousinOnceRemovedOf]->marie139-[motherOf]->lara150 => victoria142-[girlSecondCousinOf]->lara150
brotherOf,girlSecondCousinOf,boySecondCousinOf,18,18,1.0,nico4-[brotherOf]->lisa5-[girlSecondCousinOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26,nico4-[brotherOf]->lisa5-[girlSecondCousinOf]->lena18 => nico4-[boySecondCousinOf]->lena18,elias6-[brotherOf]->lisa5-[girlSecondCousinOf]->fabian26 => elias6-[boySecondCousinOf]->fabian26
daughterOf,secondAuntOf,girlSecondCousinOf,18,18,1.0,lisa5-[daughterOf]->olivia0-[secondAuntOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26,lisa5-[daughterOf]->olivia0-[secondAuntOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,natalie89-[daughterOf]->marlene86-[secondAuntOf]->lukas93 => natalie89-[girlSecondCousinOf]->lukas93
sisterOf,boySecondCousinOf,girlSecondCousinOf,17,17,1.0,lisa5-[sisterOf]->elias6-[boySecondCousinOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26,lisa5-[sisterOf]->elias6-[boySecondCousinOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,lisa5-[sisterOf]->nico4-[boySecondCousinOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26
girlCousinOf,girlSecondCousinOf,girlSecondCousinOf,14,14,1.0,victoria142-[girlCousinOf]->natalie151-[girlSecondCousinOf]->lara150 => victoria142-[girlSecondCousinOf]->lara150,natalie151-[girlCousinOf]->victoria142-[girlSecondCousinOf]->lara150 => natalie151-[girlSecondCousinOf]->lara150,selina774-[girlCousinOf]->natalie778-[girlSecondCousinOf]->oskar771 => selina774-[girlSecondCousinOf]->oskar771
boySecondCousinOf,girlCousinOf,boySecondCousinOf,13,13,1.0,oskar771-[boySecondCousinOf]->natalie778-[girlCousinOf]->michael775 => oskar771-[boySecondCousinOf]->michael775,oskar771-[boySecondCousinOf]->natalie778-[girlCousinOf]->selina774 => oskar771-[boySecondCousinOf]->selina774,oskar771-[boySecondCousinOf]->vanessa783-[girlCousinOf]->michael775 => oskar771-[boySecondCousinOf]->michael775
girlSecondCousinOf,boyCousinOf,girlSecondCousinOf,13,13,1.0,natalie89-[girlSecondCousinOf]->lukas93-[boyCousinOf]->david100 => natalie89-[girlSecondCousinOf]->david100,natalie89-[girlSecondCousinOf]->lukas93-[boyCousinOf]->nico91 => natalie89-[girlSecondCousinOf]->nico91,natalie89-[girlSecondCousinOf]->david100-[boyCousinOf]->lukas93 => natalie89-[girlSecondCousinOf]->lukas93
girlSecondCousinOf,sisterOf,girlSecondCousinOf,13,13,1.0,lena18-[girlSecondCousinOf]->lisa5-[sisterOf]->elias6 => lena18-[girlSecondCousinOf]->elias6,lena18-[girlSecondCousinOf]->lisa5-[sisterOf]->nico4 => lena18-[girlSecondCousinOf]->nico4,alina123-[girlSecondCousinOf]->marlene127-[sisterOf]->luca129 => alina123-[girlSecondCousinOf]->luca129
sonOf,secondAuntOf,boySecondCousinOf,11,11,1.0,nico4-[sonOf]->olivia0-[secondAuntOf]->fabian26 => nico4-[boySecondCousinOf]->fabian26,nico4-[sonOf]->olivia0-[secondAuntOf]->lena18 => nico4-[boySecondCousinOf]->lena18,elias6-[sonOf]->olivia0-[secondAuntOf]->fabian26 => elias6-[boySecondCousinOf]->fabian26
girlCousinOf,boySecondCousinOf,girlSecondCousinOf,10,10,1.0,victoria142-[girlCousinOf]->dominik148-[boySecondCousinOf]->lara150 => victoria142-[girlSecondCousinOf]->lara150,natalie778-[girlCousinOf]->michael775-[boySecondCousinOf]->oskar771 => natalie778-[girlSecondCousinOf]->oskar771,natalie778-[girlCousinOf]->michael775-[boySecondCousinOf]->lukas772 => natalie778-[girlSecondCousinOf]->lukas772
girlSecondCousinOf,girlCousinOf,girlSecondCousinOf,10,10,1.0,lara150-[girlSecondCousinOf]->natalie151-[girlCousinOf]->victoria142 => lara150-[girlSecondCousinOf]->victoria142,lara150-[girlSecondCousinOf]->victoria142-[girlCousinOf]->natalie151 => lara150-[girlSecondCousinOf]->natalie151,lara150-[girlSecondCousinOf]->victoria142-[girlCousinOf]->dominik148 => lara150-[girlSecondCousinOf]->dominik148
boyCousinOf,girlSecondCousinOf,boySecondCousinOf,9,9,1.0,dominik148-[boyCousinOf]->victoria142-[girlSecondCousinOf]->lara150 => dominik148-[boySecondCousinOf]->lara150,michael775-[boyCousinOf]->natalie778-[girlSecondCousinOf]->oskar771 => michael775-[boySecondCousinOf]->oskar771,michael775-[boyCousinOf]->natalie778-[girlSecondCousinOf]->lukas772 => michael775-[boySecondCousinOf]->lukas772
granddaughterOf,greatAuntOf,girlSecondCousinOf,9,9,1.0,lisa5-[granddaughterOf]->katharina1-[greatAuntOf]->fabian26 => lisa5-[girlSecondCousinOf]->fabian26,lisa5-[granddaughterOf]->katharina1-[greatAuntOf]->lena18 => lisa5-[girlSecondCousinOf]->lena18,isabella314-[granddaughterOf]->larissa299-[greatAuntOf]->theodor298 => isabella314-[girlSecondCousinOf]->theodor298
boyCousinOf,boySecondCousinOf,boySecondCousinOf,8,8,1.0,nico91-[boyCousinOf]->lukas93-[boySecondCousinOf]->natalie89 => nico91-[boySecondCousinOf]->natalie89,nico91-[boyCousinOf]->lukas93-[boySecondCousinOf]->emily102 => nico91-[boySecondCousinOf]->emily102,lukas93-[boyCousinOf]->david100-[boySecondCousinOf]->natalie89 => lukas93-[boySecondCousinOf]->natalie89
boySecondCousinOf,boyCousinOf,boySecondCousinOf,5,5,1.0,oskar771-[boySecondCousinOf]->michael775-[boyCousinOf]->natalie778 => oskar771-[boySecondCousinOf]->natalie778,oskar771-[boySecondCousinOf]->michael775-[boyCousinOf]->vanessa783 => oskar771-[boySecondCousinOf]->vanessa783,lukas772-[boySecondCousinOf]->michael775-[boyCousinOf]->natalie778 => lukas772-[boySecondCousinOf]->natalie778
auntOf,boyFirstCousinOnceRemovedOf,girlCousinOf,138,139,0.9928057553956835,selina10-[auntOf]->elias6-[boyFirstCousinOnceRemovedOf]->leon16 => selina10-[girlCousinOf]->leon16,selina10-[auntOf]->elias6-[boyFirstCousinOnceRemovedOf]->jonas23 => selina10-[girlCousinOf]->jonas23,selina10-[auntOf]->elias6-[boyFirstCousinOnceRemovedOf]->johanna22 => selina10-[girlCousinOf]->johanna22
greatAuntOf,boyCousinOf,greatAuntOf,122,123,0.991869918699187,nora66-[greatAuntOf]->felix65-[boyCousinOf]->tobias57 => nora66-[greatAuntOf]->tobias57,nora66-[greatAuntOf]->felix65-[boyCousinOf]->claudia69 => nora66-[greatAuntOf]->claudia69,nora66-[greatAuntOf]->felix65-[boyCousinOf]->magdalena59 => nora66-[greatAuntOf]->magdalena59
greatAuntOf,girlCousinOf,greatAuntOf,122,123,0.991869918699187,nora66-[greatAuntOf]->claudia69-[girlCousinOf]->felix65 => nora66-[greatAuntOf]->felix65,nora66-[greatAuntOf]->claudia69-[girlCousinOf]->oliver71 => nora66-[greatAuntOf]->oliver71,nora66-[greatAuntOf]->claudia69-[girlCousinOf]->jakob78 => nora66-[greatAuntOf]->jakob78
secondUncleOf,nieceOf,boyCousinOf,79,80,0.9875,leon16-[secondUncleOf]->lisa5-[nieceOf]->oskar24 => leon16-[boyCousinOf]->oskar24,leon16-[secondUncleOf]->lisa5-[nieceOf]->adam9 => leon16-[boyCousinOf]->adam9,leon16-[secondUncleOf]->lisa5-[nieceOf]->isabella11 => leon16-[boyCousinOf]->isabella11
greatUncleOf,girlCousinOf,greatUncleOf,59,60,0.9833333333333333,philipp70-[greatUncleOf]->claudia69-[girlCousinOf]->felix65 => philipp70-[greatUncleOf]->felix65,philipp70-[greatUncleOf]->claudia69-[girlCousinOf]->oliver71 => philipp70-[greatUncleOf]->oliver71,philipp70-[greatUncleOf]->claudia69-[girlCousinOf]->jakob78 => philipp70-[greatUncleOf]->jakob78
girlCousinOf,greatGrandsonOf,greatGranddaughterOf,276,282,0.9787234042553191,magdalena52-[girlCousinOf]->dominik44-[greatGrandsonOf]->marcel27 => magdalena52-[greatGranddaughterOf]->marcel27,magdalena52-[girlCousinOf]->dominik44-[greatGrandsonOf]->sofia28 => magdalena52-[greatGranddaughterOf]->sofia28,claudia69-[girlCousinOf]->felix65-[greatGrandsonOf]->nico63 => claudia69-[greatGranddaughterOf]->nico63
uncleOf,girlFirstCousinOnceRemovedOf,boyCousinOf,92,94,0.9787234042553191,oskar24-[uncleOf]->lisa5-[girlFirstCousinOnceRemovedOf]->leon16 => oskar24-[boyCousinOf]->leon16,oskar24-[uncleOf]->lisa5-[girlFirstCousinOnceRemovedOf]->jonas23 => oskar24-[boyCousinOf]->jonas23,oskar24-[uncleOf]->lisa5-[girlFirstCousinOnceRemovedOf]->johanna22 => oskar24-[boyCousinOf]->johanna22
auntOf,girlFirstCousinOnceRemovedOf,girlCousinOf,78,80,0.975,selina10-[auntOf]->lisa5-[girlFirstCousinOnceRemovedOf]->leon16 => selina10-[girlCousinOf]->leon16,selina10-[auntOf]->lisa5-[girlFirstCousinOnceRemovedOf]->jonas23 => selina10-[girlCousinOf]->jonas23,selina10-[auntOf]->lisa5-[girlFirstCousinOnceRemovedOf]->johanna22 => selina10-[girlCousinOf]->johanna22
